,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
P_val,84.2255,81.0964,82.7886,76.435,77.1152,85.9436,82.3748,83.7961,82.695,82.7568,85.2031,85.0026,85.1532,80.5995,84.664533,86.75055,85.3225,85.563387,86.27064,86.4453,80.7242
P_train,88.2292,85.3207,86.303,84.5508,85.0472,87.188,84.8406,88.3511,89.0142,88.4274,87.9096,88.533,89.3288,86.9763,86.7348,86.7388,87.08225,86.6888,87.5076,87.7686,85.85285
P_ewo,78.5422,71.9544,71.703933,74.5172,75.4672,78.044,74.7154,77.9508,78.79931,80.11065,77.4756,78.651,82.0716,77.0255,77.294467,77.7772,77.7703,78.034907,77.8876,78.5056,76.5886
R_val,75.74,63.3367,72.903533,71.8516,71.9116,67.374,69.9158,73.9707,70.459,69.9566,73.7276,72.8546,63.6668,78.0487,85.3212,89.2506,83.3712,87.410587,87.6638,82.7454,79.8326
R_train,81.3172,62.0371,71.837733,78.1554,78.4264,68.4476,70.558,77.2751,76.2025,77.6344,78.4604,77.4906,68.8456,85.8084,86.715267,88.03955,87.0718,85.599973,86.98348,83.6615,85.3559
R_ewo,63.4164,48.9815,56.505733,62.0176,60.7772,53.7024,56.6292,60.7124,59.1939,60.8053,61.1296,59.963,54.2212,68.2594,69.425933,69.95375,69.03635,68.374773,68.75172,66.9442,68.2361
F1-val,77.546589,74.272489,81.967143,74.6724,76.8761,73.9716,75.8556,78.511922,74.2993,74.283367,75.4116,74.5036,69.4804,78.870656,83.764,86.6429,85.996087,87.333486,85.203953,83.8725,86.14298
F1-train,83.9432,70.213856,78.235905,82.02205,84.4391,74.886,74.6046,80.5515,80.6306,81.6398,81.8133,81.4126,76.84,85.9865,86.227667,87.1665,86.8175,86.463073,86.9962,84.9934,85.9331
F1-ewo,69.4015,57.174189,62.962614,68.2295,69.6328,62.214,62.5634,66.3326,66.2177,67.9974,67.2025,66.8472,64.558,71.8013,72.599133,73.3519,72.7728,72.97293,72.68128,71.6708,72.364979
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Id,h1,h2,P-ewo,R-ewo,F1-ewo,P-ewo-std,R-ewo-std,F1-ewo-std,,,,,,,,,,,,,
0,100,150,79.62,61.84,68.01,2.43,2.40,1.94,,,,,,,,,,,,,
1,200,200,78.67,63.27,69.02,2.02,2.51,1.87,,,,,,,,,,,,,
9,200,225,77.03,64.22,69.07,2.46,2.87,1.84,,,,,,,,,,,,,
10,200,250,76.35,63.65,69.23,3.01,3.15,2.44,,,,,,,,,,,,,
13,200,275,71.95,48.98,57.17,,,,,,,,,,,,,,,,
21,200,300,80.11,60.80,67.99,1.74,1.92,1.24,,,,,,,,,,,,,
23,250,200,75.11,59.81,67.62,4.11,2.17,2.30,,,,,,,,,,,,,
24,250,225,77.48,61.13,67.20,2.48,2.83,1.52,,,,,,,,,,,,,
25,250,250,79.32,62.51,68.55,2.02,1.75,2.12,,,,,,,,,,,,,
26,250,275,78.80,63.65,69.36,1.96,1.01,1.30,,,,,,,,,,,,,
27,250,300,75.58,62.73,68.35,4.32,1.72,1.80,,,,,,,,,,,,,
28,300,250,77.05,61.93,67.60,1.89,2.30,1.91,,,,,,,,,,,,,
29,300,200,79.17,62.77,68.96,2.28,2.79,1.68,,,,,,,,,,,,,
30,300,225,77.41,60.86,67.31,3.18,2.21,2.13,,,,,,,,,,,,,
31,300,250,78.54,63.42,69.40,1.47,2.05,1.07,,,,,,,,,,,,,
32,300,275,74.62,61.30,68.42,4.58,2.94,1.62,,,,,,,,,,,,,
33,300,300,79.84,60.43,67.79,1.51,1.69,1.10,,,,,,,,,,,,,
34,350,250,78.84,60.05,66.97,1.68,2.50,1.87,,,,,,,,,,,,,
35,350,200,79.54,58.93,66.45,2.18,2.58,2.17,,,,,,,,,,,,,
36,350,225,77.86,60.59,66.84,2.40,2.84,2.56,,,,,,,,,,,,,
37,350,250,76.20,60.80,67.68,4.43,2.48,2.44,,,,,,,,,,,,,
38,350,275,78.80,59.70,66.70,2.12,2.21,2.05,,,,,,,,,,,,,
39,400,200,78.13,63.99,69.06,2.68,3.00,2.17,,,,,,,,,,,,,
40,400,225,79.10,61.64,68.10,3.00,2.44,2.00,,,,,,,,,,,,,
41,400,250,78.36,59.44,66.39,1.91,3.53,2.58,,,,,,,,,,,,,
43,400,275,76.49,61.95,68.12,2.97,2.79,2.33,,,,,,,,,,,,,
44,400,300,77.60,67.68,71.63,1.20,2.59,1.92,,,,,,,,,,,,,
baseline,640,160,77.05,59.62,66.04,3.45,0.94,1.78,,,,,,,,,,,,,
46,840,1024,79.97,60.49,67.79,2.54,1.42,0.89,,,,,,,,,,,,,
47,1024,840,77.03,68.26,71.80,2.51,2.95,1.83,,,,,,,,,,,,,
